GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ecommerce Platform Project,com.example.dto,UserDTO.UserDTOBuilder,8,28,0,0,0,1,1,5,1,5
Ecommerce Platform Project,com.example.dto,OrderItemDTO,81,26,16,0,0,5,12,6,4,6
Ecommerce Platform Project,com.example.dto,ReviewDTO,383,0,70,0,11,0,57,0,22,0
Ecommerce Platform Project,com.example.dto,UserDTO,135,74,32,2,0,19,21,11,4,11
Ecommerce Platform Project,com.example.dto,OrderInfoDTO.ProductInfo,218,18,40,0,7,1,35,1,15,1
Ecommerce Platform Project,com.example.dto,OrderInfoDTO,314,27,62,0,8,2,49,2,18,2
Ecommerce Platform Project,com.example.dto,ProductDTO,36,30,0,0,10,11,10,4,10,4
Ecommerce Platform Project,com.example.entity.base,Auditable,6,11,0,0,2,5,2,3,2,3
Ecommerce Platform Project,com.example.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Ecommerce Platform Project,com.example.exception,ErrorResponse,0,15,0,0,0,6,0,3,0,3
Ecommerce Platform Project,com.example.exception,GlobalExceptionHandler,24,31,0,0,4,5,2,3,2,3
Ecommerce Platform Project,com.example,RunApplication,5,3,0,0,2,1,1,1,1,1
Ecommerce Platform Project,com.example.constant,OrderStatus,3,0,0,0,1,0,1,0,1,0
Ecommerce Platform Project,com.example.controller,OrderController,139,6,12,0,30,3,13,1,7,1
Ecommerce Platform Project,com.example.controller,CustomerController,55,22,0,0,11,6,6,3,6,3
Ecommerce Platform Project,com.example.controller,ReviewController,124,6,2,0,27,3,15,1,14,1
Ecommerce Platform Project,com.example.controller,UserController,32,25,0,0,6,5,3,3,3,3
Ecommerce Platform Project,com.example.controller,ProductController,76,29,4,0,13,5,6,2,4,2
Ecommerce Platform Project,com.example.service,OrderServiceImpl,32,226,4,10,5,48,9,9,5,6
Ecommerce Platform Project,com.example.service,CustomerServiceImpl,85,11,2,0,16,4,8,2,7,2
Ecommerce Platform Project,com.example.service,UserServiceImpl,96,15,0,0,21,4,8,2,8,2
Ecommerce Platform Project,com.example.service,ReviewServiceImpl,138,40,2,2,27,10,16,4,14,4
Ecommerce Platform Project,com.example.config,JpaConfig,0,8,0,0,0,2,0,3,0,3
Ecommerce Platform Project,com.example.entity,User,167,48,37,1,1,7,24,10,5,10
Ecommerce Platform Project,com.example.entity,Review,36,57,2,2,4,9,6,11,4,11
Ecommerce Platform Project,com.example.entity,Product,74,35,4,0,8,6,9,10,7,10
Ecommerce Platform Project,com.example.entity,Category,76,11,4,0,10,2,12,3,10,3
Ecommerce Platform Project,com.example.entity,Customer,82,47,3,1,8,8,10,13,8,13
Ecommerce Platform Project,com.example.entity,User.UserBuilder,16,30,0,0,0,1,2,5,2,5
Ecommerce Platform Project,com.example.entity,Order,71,42,4,0,7,7,7,12,5,12
Ecommerce Platform Project,com.example.entity,OrderItem,75,25,4,0,9,4,10,7,8,7
