GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab4-springboot,com.example.lab4.model.dto,OrderDTO,0,36,0,0,0,10,0,9,0,9
lab4-springboot,com.example.lab4.model.dto,CategoryDTO,0,24,0,0,0,7,0,7,0,7
lab4-springboot,com.example.lab4.model.dto,UserDTO,0,24,0,0,0,7,0,7,0,7
lab4-springboot,com.example.lab4.model.dto,OrderItemDTO,0,38,0,0,0,11,0,11,0,11
lab4-springboot,com.example.lab4.model.dto,ProductDTO,0,38,0,0,0,11,0,11,0,11
lab4-springboot,com.example.lab4.config,SwaggerConfig,0,15,0,0,0,2,0,2,0,2
lab4-springboot,com.example.lab4.config,WebConfig,0,8,0,0,0,2,0,2,0,2
lab4-springboot,com.example.lab4.config,WebConfig.new WebMvcConfigurer() {...},0,41,0,0,0,5,0,2,0,2
lab4-springboot,com.example.lab4.config,JpaAuditingConfig,0,3,0,0,0,1,0,1,0,1
lab4-springboot,com.example.lab4.config,DataSourceProperties,24,0,0,0,7,0,7,0,7,0
lab4-springboot,com.example.lab4.model.entity.base,Auditable,0,17,0,0,0,7,0,5,0,5
lab4-springboot,com.example.lab4.controller,CategoryController,50,3,2,0,11,1,6,1,5,1
lab4-springboot,com.example.lab4.controller,OrderController,5,48,0,2,1,11,1,6,1,5
lab4-springboot,com.example.lab4.controller,OrderItemController,35,3,0,0,6,1,5,1,5,1
lab4-springboot,com.example.lab4.controller,ProductController,5,48,0,2,1,11,1,6,1,5
lab4-springboot,com.example.lab4.controller,UserController,13,48,0,2,4,11,1,6,1,5
lab4-springboot,com.example.lab4.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
lab4-springboot,com.example.lab4.exception,GlobalExceptionHandler,0,9,0,0,0,2,0,2,0,2
lab4-springboot,com.example.lab4.service.serviceimpl,UserServiceImpl,0,123,0,4,0,28,0,10,0,8
lab4-springboot,com.example.lab4.service.serviceimpl,CategoryServiceImpl,0,148,2,8,0,30,2,11,0,8
lab4-springboot,com.example.lab4.service.serviceimpl,ProductServiceImpl,0,153,0,8,0,33,0,12,0,8
lab4-springboot,com.example.lab4.service.serviceimpl,OrderItemServiceImpl,40,179,2,4,6,33,4,12,2,11
lab4-springboot,com.example.lab4.service.serviceimpl,OrderServiceImpl,8,223,3,17,1,46,4,16,1,9
lab4-springboot,com.example.lab4,lab4SpringbootApplication,5,3,0,0,2,1,1,1,1,1
lab4-springboot,com.example.lab4.model.entity,Product,0,45,0,0,0,13,0,13,0,13
lab4-springboot,com.example.lab4.model.entity,OrderItem,0,38,0,0,0,11,0,11,0,11
lab4-springboot,com.example.lab4.model.entity,User,10,33,0,0,3,9,3,8,3,8
lab4-springboot,com.example.lab4.model.entity,Order,3,40,0,0,1,11,1,10,1,10
lab4-springboot,com.example.lab4.model.entity,Category,7,29,0,0,2,8,2,7,2,7
lab4-springboot,com.example.lab4.model.enums,OrderStatus,0,33,0,0,0,6,0,1,0,1
